country_iso,country_name,year,gdp_pcap_constant_2015_usd,gdp_pcap_ppp_constant_2021,hdi,cantril_ladder
USA,United States,1960,18991.5445998554,,,
USA,United States,1961,19108.9353618196,,,
USA,United States,1962,19965.1435740168,,,
USA,United States,1963,20545.7842448928,,,
USA,United States,1964,21437.5840707345,,,
USA,United States,1965,22526.2055153932,,,
USA,United States,1966,23714.9390303358,,,
USA,United States,1967,24044.5651288028,,,
USA,United States,1968,24948.3569003897,,,
USA,United States,1969,25471.6161794352,,,
USA,United States,1970,25231.1271587521,,,
USA,United States,1971,25734.4828317751,,,
USA,United States,1972,26798.5336106847,,,
USA,United States,1973,28042.5519181903,,,
USA,United States,1974,27637.2997756103,,,
USA,United States,1975,27309.8688183059,,,
USA,United States,1976,28509.1430593189,,,
USA,United States,1977,29528.9663682275,,,
USA,United States,1978,30834.9992322862,,,
USA,United States,1979,31462.1003882108,,,
USA,United States,1980,31081.6216322106,,,
USA,United States,1981,31559.1293376105,,,
USA,United States,1982,30696.0834382608,,,
USA,United States,1983,31810.9216076638,,,
USA,United States,1984,33818.823551545,,,
USA,United States,1985,34918.1302039172,,,
USA,United States,1986,35794.8877746784,,,
USA,United States,1987,36701.9453874612,,,
USA,United States,1988,37889.3773459827,,,
USA,United States,1989,38911.5418959959,,,
USA,United States,1990,39200.0658091762,44384.2101912606,0.878,
USA,United States,1991,38637.8398179104,43747.6307351749,0.878,
USA,United States,1992,39447.9472850606,44664.873585596,0.882,
USA,United States,1993,40002.4762253198,45292.7380683092,0.884,
USA,United States,1994,41106.9881833481,46543.3199204553,0.887,
USA,United States,1995,41710.8207256668,47227.0083257008,0.888,
USA,United States,1996,42783.8165724095,48441.9061125568,0.89,
USA,United States,1997,44151.6860410035,49990.6740739125,0.893,
USA,United States,1998,45596.4306879224,51626.4838297863,0.895,
USA,United States,1999,47234.2455290381,53480.8969962416,0.895,
USA,United States,2000,48616.2546282435,55045.6745311559,0.895,
USA,United States,2001,48597.4246124122,55024.3542766281,0.897,
USA,United States,2002,48967.3661217576,55443.2199435683,0.898,
USA,United States,2003,49905.5233080788,56505.4468784112,0.9,
USA,United States,2004,51348.3473386025,58139.0820195229,0.905,
USA,United States,2005,52649.5713060461,59612.3907215559,0.907,
USA,United States,2006,53596.315236412,60684.3399832539,0.911,
USA,United States,2007,54152.8292673551,61314.4520816367,0.914,
USA,United States,2008,53703.962897927,60806.2238713713,0.914,
USA,United States,2009,51863.6183416558,58722.496767251,0.915,
USA,United States,2010,52812.6829869279,59797.0736545937,0.919,
USA,United States,2011,53215.5362314388,60253.2035796719,0.92,7.27
USA,United States,2012,54000.8410778217,61142.3637034265,0.923,7.082
USA,United States,2013,54728.860179812,61966.6621370894,0.925,
USA,United States,2014,55665.2411187802,63026.8779187814,0.926,7.119
USA,United States,2015,56849.4697923159,64367.7188912582,0.928,7.104
USA,United States,2016,57430.8499298804,65025.9855980616,0.929,6.993
USA,United States,2017,58435.9707535619,66164.0320014289,0.931,6.886
USA,United States,2018,59817.6556798612,67728.4424921024,0.934,6.892
USA,United States,2019,61047.9648238812,69121.4580016741,0.936,6.9396
USA,United States,2020,59533.609024416,67406.8311325507,0.925,6.951
USA,United States,2021,63096.7856149746,71441.231980595,0.921,6.977
USA,United States,2022,64322.2332819139,72828.7430907189,0.93,6.894
USA,United States,2023,65667.281580468,74351.6718197429,0.938,6.725
USA,United States,2024,66856.5131698371,75698.1773354629,,6.724
USA,United States,2025,67945.6146497427,76931.3106990408,,6.816
