country_name,country_code,decade,va_agro_pct_gva,va_ind_pct_gva,va_serv_pct_gva,emp_agro_pct,emp_ind_pct,emp_serv_pct,va_agro_pct_gdp,va_ind_pct_gdp,va_serv_pct_gdp
China,CHN,1960s,36.88,34.87,28.24,,,,36.88,34.87,28.24
China,CHN,1970s,31.84,44.13,24.04,,,,31.84,44.13,24.04
China,CHN,1980s,28.81,44.06,27.14,,,,28.81,44.06,27.14
China,CHN,1990s,19.98,44.78,35.24,53.48,22.77,23.75,19.98,44.78,35.24
China,CHN,2000s,11.79,45.43,42.78,45.19,24.32,30.48,11.79,45.43,42.78
China,CHN,2010s,8.18,41.66,50.16,29.89,29.85,40.26,8.18,41.66,50.16
China,CHN,2020s,7.02,36.95,56.03,22.87,31.41,45.72,7.02,36.95,56.03
India,IND,1960s,41.31,21.43,37.26,,,,40.92,21.23,36.94
India,IND,1970s,38.89,24.53,36.58,,,,37.12,23.4,34.9
India,IND,1980s,33.03,28.52,38.45,,,,30.7,26.49,35.71
India,IND,1990s,28.04,29.85,42.11,61.8,15.19,23.01,25.68,27.33,38.55
India,IND,2000s,20.08,31.67,48.25,55.74,18.74,25.52,18.49,29.18,44.45
India,IND,2010s,18.18,30.26,51.56,45.04,24.63,30.33,16.69,27.78,47.3
India,IND,2020s,19.34,28.01,52.65,43.18,25.09,31.73,17.62,25.52,47.97
